T_K,T_C,G_cu2o,G_cuo,G_cu,dG_cu2o_formation,dG_cuo_formation,dG_cu2o_per_O2,dG_cuo_per_O2
1127.2727272727275,854.1227272727275,-107346.94168111999,-118280.2222763403,-54840.22502725994,2333.508373399891,-63439.997249080356,4667.016746799782,-126879.99449816071
1136.3636363636365,863.2136363636365,-107923.98974509691,-118787.14938458815,-55465.077714162006,3006.1656832270965,-63322.07167042614,6012.331366454193,-126644.14334085229
1145.4545454545455,872.3045454545455,-108503.06865337958,-119296.52778739351,-56092.04446852189,3681.0202836641984,-63204.48331887162,7362.040567328397,-126408.96663774324
1154.5454545454545,881.3954545454545,-109084.16598885908,-119808.34632996612,-56721.11092932985,4358.055869800621,-63087.23540063627,8716.111739601241,-126174.47080127255
1163.6363636363637,890.4863636363638,-109667.26952483549,-120322.59400493238,-57352.26295040253,5037.256375969577,-62970.33105452985,10074.512751939154,-125940.6621090597
1172.7272727272727,899.5772727272728,-110252.36722071355,-120839.25994975246,-57985.48659541423,5718.605970114906,-62853.773354338235,11437.211940229812,-125707.54670867647
1181.818181818182,908.668181818182,-110839.44721782605,-121358.33344418429,-58620.76813308039,6402.089048334732,-62737.5653111039,12804.178096669464,-125475.1306222078
1190.909090909091,917.759090909091,-111428.49783537994,-121879.80390779447,-59258.094032486304,7087.69022959267,-62621.70987530817,14175.38045918534,-125243.41975061633
1200.0,926.85,-112019.50756652065,-122403.66089751464,-59897.45095855667,7775.394350592687,-62506.20993895797,15550.788701185375,-125012.41987791593
1209.090909090909,935.940909090909,-112612.46507451072,-122929.89410524353,-60538.82576765966,8465.186460808603,-62391.06833758386,16930.372921617207,-124782.13667516773
1218.1818181818182,945.0318181818183,-113207.35918901816,-123458.49335549466,-61182.205503341866,9157.051817665575,-62276.2878521528,18314.10363533115,-124552.5757043056
1227.2727272727275,954.1227272727275,-113804.17890251143,-123989.44860308811,-61827.57739218794,9850.975881864448,-62161.87121090017,19701.951763728895,-124323.74242180034
1236.3636363636365,963.2136363636365,-114402.91336675626,-124522.74993088706,-62474.92883980152,10546.944312846783,-62047.82109108554,21093.888625693566,-124095.64218217108
1245.4545454545455,972.3045454545455,-115003.55188941196,-125058.38754757767,-63124.24742690239,11244.942964392816,-61934.140120675285,22489.885928785632,-123868.28024135057
1254.5454545454545,981.3954545454545,-115606.08393072238,-125596.35178549157,-63775.520905536,11944.957880349626,-61820.83087995557,23889.915760699252,-123641.66175991113
1263.6363636363637,990.4863636363638,-116210.49910029981,-126136.63309847162,-64428.737195391266,12646.975290482718,-61707.89590308035,25293.950580965437,-123415.7918061607
