radius_um,time_s,time_label,distance_from_surface_um,radial_position_um,cu_wt_pct
50,60,1 min,593.220338983051,643.220338983051,0.294090375384785
50,60,1 min,677.9661016949153,727.9661016949153,0.29565905652782054
50,60,1 min,762.7118644067797,812.7118644067797,0.296800687464227
50,60,1 min,847.4576271186442,897.4576271186442,0.2976423242814962
50,60,1 min,932.2033898305085,982.2033898305085,0.2982671661507043
50,60,1 min,1016.9491525423729,1066.9491525423728,0.29873222621905554
50,60,1 min,1101.6949152542372,1151.6949152542372,0.2990781065611297
50,60,1 min,1186.440677966102,1236.440677966102,0.29933449545796514
50,60,1 min,1271.1864406779662,1321.1864406779662,0.29952354451813146
50,60,1 min,1355.9322033898306,1405.9322033898306,0.2996619835081822
50,60,1 min,1440.677966101695,1490.677966101695,0.29976253512867546
50,60,1 min,1525.4237288135594,1575.4237288135594,0.2998348987853543
50,60,1 min,1610.1694915254238,1660.1694915254238,0.299886454194409
50,60,1 min,1694.9152542372883,1744.9152542372883,0.29992278997073196
50,60,1 min,1779.6610169491528,1829.6610169491528,0.2999481086522028
50,60,1 min,1864.406779661017,1914.406779661017,0.2999655416719235
50,60,1 min,1949.1525423728815,1999.1525423728815,0.2999773978026502
50,60,1 min,2033.8983050847457,2083.8983050847455,0.2999853593173977
50,60,1 min,2118.64406779661,2168.64406779661,0.29999063646283425
50,60,1 min,2203.3898305084745,2253.3898305084745,0.2999940882494356
50,60,1 min,2288.135593220339,2338.135593220339,0.29999631587363174
50,60,1 min,2372.881355932204,2422.881355932204,0.29999773402817814
50,60,1 min,2457.627118644068,2507.627118644068,0.29999862453464027
50,60,1 min,2542.3728813559323,2592.3728813559323,0.2999991760372128
50,60,1 min,2627.118644067797,2677.118644067797,0.29999951288698246
50,60,1 min,2711.8644067796613,2761.8644067796613,0.29999971579546886
50,60,1 min,2796.6101694915255,2846.6101694915255,0.29999983634115046
50,60,1 min,2881.35593220339,2931.35593220339,0.2999999069757691
50,60,1 min,2966.1016949152545,3016.1016949152545,0.2999999478020014
50,60,1 min,3050.8474576271187,3100.8474576271187,0.2999999710813912
50,60,1 min,3135.593220338983,3185.593220338983,0.29999998417870344
50,60,1 min,3220.3389830508477,3270.3389830508477,0.29999999145065065
50,60,1 min,3305.0847457627124,3355.0847457627124,0.2999999954360133
50,60,1 min,3389.8305084745766,3439.8305084745766,0.2999999975924366
50,60,1 min,3474.576271186441,3524.576271186441,0.29999999874471733
50,60,1 min,3559.3220338983056,3609.3220338983056,0.2999999993529324
50,60,1 min,3644.06779661017,3694.06779661017,0.29999999967014723
50,60,1 min,3728.813559322034,3778.813559322034,0.29999999983366843
50,60,1 min,3813.5593220338983,3863.5593220338983,0.2999999999170078
50,60,1 min,3898.305084745763,3948.305084745763,0.2999999999590143
50,60,1 min,3983.0508474576277,4033.0508474576277,0.2999999999799605
50,60,1 min,4067.7966101694915,4117.796610169491,0.2999999999902966
50,60,1 min,4152.542372881357,4202.542372881357,0.2999999999953455
50,60,1 min,4237.28813559322,4287.28813559322,0.2999999999977877
50,60,1 min,4322.033898305085,4372.033898305085,0.2999999999989577
50,60,1 min,4406.779661016949,4456.779661016949,0.29999999999951327
50,60,1 min,4491.525423728814,4541.525423728814,0.29999999999977456
50,60,1 min,4576.271186440678,4626.271186440678,0.29999999999989646
50,60,1 min,4661.016949152543,4711.016949152543,0.29999999999995275
50,60,1 min,4745.762711864408,4795.762711864408,0.2999999999999786
50,60,1 min,4830.5084745762715,4880.5084745762715,0.29999999999999016
50,60,1 min,4915.254237288136,4965.254237288136,0.299999999999995
50,60,1 min,5000.0,5050.0,0.29999999999999627
50,300,5 min,0.0,50.0,0.010000000000000024
50,300,5 min,84.74576271186442,134.74576271186442,0.21422108510321275
50,300,5 min,169.49152542372883,219.49152542372883,0.25511884390680706
50,300,5 min,254.23728813559322,304.2372881355932,0.2708581340309631
50,300,5 min,338.98305084745766,388.98305084745766,0.2790366562876722
50,300,5 min,423.7288135593221,473.7288135593221,0.28401671507588766
50,300,5 min,508.47457627118644,558.4745762711864,0.28735385077911385
50,300,5 min,593.220338983051,643.220338983051,0.2897394435405154
50,300,5 min,677.9661016949153,727.9661016949153,0.291523391763831
50,300,5 min,762.7118644067797,812.7118644067797,0.2929036330892051
50,300,5 min,847.4576271186442,897.4576271186442,0.2939990353034809
50,300,5 min,932.2033898305085,982.2033898305085,0.2948861284344356
50,300,5 min,1016.9491525423729,1066.9491525423728,0.2956160006219221
50,300,5 min,1101.6949152542372,1151.6949152542372,0.2962242493768611
50,300,5 min,1186.440677966102,1236.440677966102,0.2967364142716329
50,300,5 min,1271.1864406779662,1321.1864406779662,0.2971713182223469
50,300,5 min,1355.9322033898306,1405.9322033898306,0.29754316105467027
50,300,5 min,1440.677966101695,1490.677966101695,0.2978628713809705
50,300,5 min,1525.4237288135594,1575.4237288135594,0.2981390083873371
50,300,5 min,1610.1694915254238,1660.1694915254238,0.29837838846053677
50,300,5 min,1694.9152542372883,1744.9152542372883,0.2985865114362829
50,300,5 min,1779.6610169491528,1829.6610169491528,0.29876787272732674
50,300,5 min,1864.406779661017,1914.406779661017,0.29892618888523687
50,300,5 min,1949.1525423728815,1999.1525423728815,0.2990645624936645
50,300,5 min,2033.8983050847457,2083.8983050847455,0.2991856111068707
50,300,5 min,2118.64406779661,2168.64406779661,0.2992915568588085
50,300,5 min,2203.3898305084745,2253.3898305084745,0.2993843002847417
50,300,5 min,2288.135593220339,2338.135593220339,0.2994654790031393
50,300,5 min,2372.881355932204,2422.881355932204,0.29953651159371925
50,300,5 min,2457.627118644068,2507.627118644068,0.2995986312864422
50,300,5 min,2542.3728813559323,2592.3728813559323,0.29965291481486556
50,300,5 min,2627.118644067797,2677.118644067797,0.29970030639472
50,300,5 min,2711.8644067796613,2761.8644067796613,0.29974163582878044
50,300,5 min,2796.6101694915255,2846.6101694915255,0.2997776339839942
50,300,5 min,2881.35593220339,2931.35593220339,0.2998089456414239
50,300,5 min,2966.1016949152545,3016.1016949152545,0.29983614055568447
50,300,5 min,3050.8474576271187,3100.8474576271187,0.2998597222905379
50,300,5 min,3135.593220338983,3185.593220338983,0.2998801359926951
50,300,5 min,3220.3389830508477,3270.3389830508477,0.2998977753728523
50,300,5 min,3305.0847457627124,3355.0847457627124,0.2999129885078133
50,300,5 min,3389.8305084745766,3439.8305084745766,0.299926082927815
50,300,5 min,3474.576271186441,3524.576271186441,0.2999373300589998
50,300,5 min,3559.3220338983056,3609.3220338983056,0.2999469691636451
50,300,5 min,3644.06779661017,3694.06779661017,0.29995521083103227
50,300,5 min,3728.813559322034,3778.813559322034,0.299962240080497
50,300,5 min,3813.5593220338983,3863.5593220338983,0.299968219130301
50,300,5 min,3898.305084745763,3948.305084745763,0.2999732898686405
50,300,5 min,3983.0508474576277,4033.0508474576277,0.29997757606208886
50,300,5 min,4067.7966101694915,4117.796610169491,0.2999811853306374
50,300,5 min,4152.542372881357,4202.542372881357,0.2999842109129756
50,300,5 min,4237.28813559322,4287.28813559322,0.29998673324217184
50,300,5 min,4322.033898305085,4372.033898305085,0.2999888213492408
50,300,5 min,4406.779661016949,4456.779661016949,0.2999905341099153
50,300,5 min,4491.525423728814,4541.525423728814,0.29999192134815594
50,300,5 min,4576.271186440678,4626.271186440678,0.29999302480850965
50,300,5 min,4661.016949152543,4711.016949152543,0.2999938790082649
50,300,5 min,4745.762711864408,4795.762711864408,0.2999945119794192
50,300,5 min,4830.5084745762715,4880.5084745762715,0.2999949459097027
50,300,5 min,4915.254237288136,4965.254237288136,0.2999951976912737
50,300,5 min,5000.0,5050.0,0.2999952793851657
50,600,10 min,0.0,50.0,0.010000000000000024
50,600,10 min,84.74576271186442,134.74576271186442,0.21332122391148092
50,600,10 min,169.49152542372883,219.49152542372883,0.2540402162641569
50,600,10 min,254.23728813559322,304.2372881355932,0.26971690316671443
50,600,10 min,338.98305084745766,388.98305084745766,0.27786715332235995
50,600,10 min,423.7288135593221,473.7288135593221,0.2828370595301919
50,600,10 min,508.47457627118644,558.4745762711864,0.2861730139238113
50,600,10 min,593.220338983051,643.220338983051,0.28856477270256875
50,600,10 min,677.9661016949153,727.9661016949153,0.2903595898177184
50,600,10 min,762.7118644067797,812.7118644067797,0.2917549884097577
50,600,10 min,847.4576271186442,897.4576271186442,0.2928688878505428
50,600,10 min,932.2033898305085,982.2033898305085,0.293777427883771
50,600,10 min,1016.9491525423729,1066.9491525423728,0.29453130354731233
50,600,10 min,1101.6949152542372,1151.6949152542372,0.29516577093643565
50,600,10 min,1186.440677966102,1236.440677966102,0.29570608899169076
50,600,10 min,1271.1864406779662,1321.1864406779662,0.29617081671373047
50,600,10 min,1355.9322033898306,1405.9322033898306,0.2965739053355354
50,600,10 min,1440.677966101695,1490.677966101695,0.29692604962429775
50,600,10 min,1525.4237288135594,1575.4237288135594,0.2972355881191391
50,600,10 min,1610.1694915254238,1660.1694915254238,0.2975091188232539
50,600,10 min,1694.9152542372883,1744.9152542372883,0.29775193978055636
50,600,10 min,1779.6610169491528,1829.6610169491528,0.29796835167636326
50,600,10 min,1864.406779661017,1914.406779661017,0.29816188579779834
50,600,10 min,1949.1525423728815,1999.1525423728815,0.2983354709868655
50,600,10 min,2033.8983050847457,2083.8983050847455,0.29849155854701254
50,600,10 min,2118.64406779661,2168.64406779661,0.29863221751650676
50,600,10 min,2203.3898305084745,2253.3898305084745,0.29875920671740386
50,600,10 min,2288.135593220339,2338.135593220339,0.2988740351208117
50,600,10 min,2372.881355932204,2422.881355932204,0.29897800242114747
50,600,10 min,2457.627118644068,2507.627118644068,0.2990722351669033
50,600,10 min,2542.3728813559323,2592.3728813559323,0.29915771701567095
50,600,10 min,2627.118644067797,2677.118644067797,0.2992353111926188
50,600,10 min,2711.8644067796613,2761.8644067796613,0.29930577722092294
50,600,10 min,2796.6101694915255,2846.6101694915255,0.29936978649093915
50,600,10 min,2881.35593220339,2931.35593220339,0.299427935970658
50,600,10 min,2966.1016949152545,3016.1016949152545,0.29948075775404465
50,600,10 min,3050.8474576271187,3100.8474576271187,0.2995287276275642
50,600,10 min,3135.593220338983,3185.593220338983,0.29957227265659164
50,600,10 min,3220.3389830508477,3270.3389830508477,0.2996117763093487
50,600,10 min,3305.0847457627124,3355.0847457627124,0.29964758377274636
50,600,10 min,3389.8305084745766,3439.8305084745766,0.2996800069649946
50,600,10 min,3474.576271186441,3524.576271186441,0.29970932785245374
50,600,10 min,3559.3220338983056,3609.3220338983056,0.29973580162671715
50,600,10 min,3644.06779661017,3694.06779661017,0.29975965944897953
50,600,10 min,3728.813559322034,3778.813559322034,0.29978111082362335
50,600,10 min,3813.5593220338983,3863.5593220338983,0.2998003456647261
50,600,10 min,3898.305084745763,3948.305084745763,0.29981753610123774
50,600,10 min,3983.0508474576277,4033.0508474576277,0.2998328380636042
50,600,10 min,4067.7966101694915,4117.796610169491,0.2998463926836215
50,600,10 min,4152.542372881357,4202.542372881357,0.2998583275337503
50,600,10 min,4237.28813559322,4287.28813559322,0.29986875773087396
50,600,10 min,4322.033898305085,4372.033898305085,0.29987778699797185
50,600,10 min,4406.779661016949,4456.779661016949,0.2998855083749323
50,600,10 min,4491.525423728814,4541.525423728814,0.2998920050716685
50,600,10 min,4576.271186440678,4626.271186440678,0.2998973513101653
50,600,10 min,4661.016949152543,4711.016949152543,0.2999016129123837
50,600,10 min,4745.762711864408,4795.762711864408,0.29990484790461414
50,600,10 min,4830.5084745762715,4880.5084745762715,0.2999071070713456
50,600,10 min,4915.254237288136,4965.254237288136,0.29990843446755844
50,600,10 min,5000.0,5050.0,0.2999088678936167
50,1800,30 min,0.0,50.0,0.010000000000000024
50,1800,30 min,84.74576271186442,134.74576271186442,0.21227408817224785
50,1800,30 min,169.49152542372883,219.49152542372883,0.25278104259240347
50,1800,30 min,254.23728813559322,304.2372881355932,0.26838096896778024
50,1800,30 min,338.98305084745766,388.98305084745766,0.27649073673592306
50,1800,30 min,423.7288135593221,473.7288135593221,0.2814401807240895
50,1800,30 min,508.47457627118644,558.4745762711864,0.28476331318468706
50,1800,30 min,593.220338983051,643.220338983051,0.28714931982887565
50,1800,30 min,677.9661016949153,727.9661016949153,0.2889416745614992
50,1800,30 min,762.7118644067797,812.7118644067797,0.2903379861612508
50,1800,30 min,847.4576271186442,897.4576271186442,0.2914550225260943
50,1800,30 min,932.2033898305085,982.2033898305085,0.2923686086158312
50,1800,30 min,1016.9491525423729,1066.9491525423728,0.2931291956598375
50,1800,30 min,1101.6949152542372,1151.6949152542372,0.2937717614299933
50,1800,30 min,1186.440677966102,1236.440677966102,0.2943213940868174
50,1800,30 min,1271.1864406779662,1321.1864406779662,0.2947965262249629
50,1800,30 min,1355.9322033898306,1405.9322033898306,0.2952109884058481
50,1800,30 min,1440.677966101695,1490.677966101695,0.2955753650502373
50,1800,30 min,1525.4237288135594,1575.4237288135594,0.2958978986902332
50,1800,30 min,1610.1694915254238,1660.1694915254238,0.29618510129107417
50,1800,30 min,1694.9152542372883,1744.9152542372883,0.29644219050494486
