temp_K,radius_um,time_s,time_label,distance_from_surface_um,radial_position_um,cu_wt_pct
1723,250,300,5 min,1525.4237288135594,1775.4237288135594,0.30000000000000804
1723,250,300,5 min,1610.1694915254238,1860.1694915254238,0.29999999999999805
1723,250,300,5 min,1694.9152542372883,1944.9152542372883,0.2999999999999997
1723,250,300,5 min,1779.6610169491528,2029.6610169491528,0.29999999999999943
1723,250,300,5 min,1864.406779661017,2114.406779661017,0.2999999999999994
1723,250,300,5 min,1949.1525423728815,2199.1525423728817,0.29999999999999954
1723,250,300,5 min,2033.8983050847457,2283.8983050847455,0.3
1723,250,300,5 min,2118.64406779661,2368.64406779661,0.29999999999999954
1723,250,300,5 min,2203.3898305084745,2453.3898305084745,0.2999999999999996
1723,250,300,5 min,2288.135593220339,2538.135593220339,0.2999999999999991
1723,250,300,5 min,2372.881355932204,2622.881355932204,0.29999999999999954
1723,250,300,5 min,2457.627118644068,2707.627118644068,0.2999999999999994
1723,250,300,5 min,2542.3728813559323,2792.3728813559323,0.29999999999999916
1723,250,300,5 min,2627.118644067797,2877.118644067797,0.29999999999999943
1723,250,300,5 min,2711.8644067796613,2961.8644067796613,0.2999999999999994
1723,250,300,5 min,2796.6101694915255,3046.6101694915255,0.2999999999999995
1723,250,300,5 min,2881.35593220339,3131.35593220339,0.2999999999999999
1723,250,300,5 min,2966.1016949152545,3216.1016949152545,0.2999999999999991
1723,250,300,5 min,3050.8474576271187,3300.8474576271187,0.2999999999999996
1723,250,300,5 min,3135.593220338983,3385.593220338983,0.2999999999999996
1723,250,300,5 min,3220.3389830508477,3470.3389830508477,0.29999999999999943
1723,250,300,5 min,3305.0847457627124,3555.0847457627124,0.30000000000000016
1723,250,300,5 min,3389.8305084745766,3639.8305084745766,0.2999999999999993
1723,250,300,5 min,3474.576271186441,3724.576271186441,0.29999999999999966
1723,250,300,5 min,3559.3220338983056,3809.3220338983056,0.2999999999999994
1723,250,300,5 min,3644.06779661017,3894.06779661017,0.29999999999999943
1723,250,300,5 min,3728.813559322034,3978.813559322034,0.29999999999999977
1723,250,300,5 min,3813.5593220338983,4063.5593220338983,0.29999999999999916
